Word,Translation,Part of Speech,Example Sentence,Example Translation
protection,การป้องกัน,n.,"""The protection of endangered species is crucial.""","""การคุ้มครองสัตว์ใกล้สูญพันธุ์เป็นสิ่งสำคัญ"""
protein,โปรตีน,n.,"""Protein is essential for muscle growth.""","""โปรตีนเป็นสิ่งจำเป็นสำหรับการเจริญเติบโตของกล้ามเนื้อ"""
protester,ผู้ประท้วง,n.,"""The protester marched for their beliefs.""","""ผู้ประท้วงเดินขบวนเพื่อศรัทธาของพวกเขา"""
psychology,จิตวิทยา,n.,"""Psychology is the study of the mind.""","""จิตวิทยาคือการศึกษาจิตใจ"""
publicity,การเผยแพร่,n.,"""The new product gained a lot of publicity.""","""ผลิตภัณฑ์ใหม่ได้รับการประชาสัมพันธ์มากมาย"""
publishing,การเผยแพร่,n.,"""Publishing a book is a lengthy process.""","""การตีพิมพ์หนังสือเป็นกระบวนการที่ใช้เวลานาน"""
punk,พังค์,n.,"""Punk music has a unique sound.""","""เพลงพังค์มีเสียงที่เป็นเอกลักษณ์"""
pupil,นักเรียน,n.,"""The teacher praised the pupil's hard work.""","""ครูชื่นชมการทำงานหนักของลูกศิษย์"""
purchase,ซื้อ,n./ v.,"""I need to purchase groceries today.""","""วันนี้ฉันต้องไปซื้อของ"""
pure,บริสุทธิ์,adj.,"""The water is pure and clean.""","""น้ำมีความบริสุทธิ์และสะอาด"""
purely,หมดจด,adv.,"""We purely enjoy spending time together.""","""เราสนุกกับการใช้เวลาร่วมกันอย่างแท้จริง"""
pursuit,การแสวงหา,n.,"""is pursuit of happiness is inspiring.""","""คือการแสวงหาความสุขเป็นแรงบันดาลใจ"""
puzzle,ปริศนา,n.,"""Solving the puzzle was challenging.""","""การไขปริศนาเป็นเรื่องที่ท้าทาย"""
questionnaire,แบบสอบถาม,n.,"""Please fill out the questionnaire.""","""กรุณากรอกแบบสอบถาม"""
racist,เหยียดผิว,adj./ n.,"""Being racist is harmful and unfair.""","""การเหยียดเชื้อชาติเป็นอันตรายและไม่ยุติธรรม"""
radiation,รังสี,n.,"""Exposure to radiation can be dangerous.""","""การได้รับรังสีอาจเป็นอันตรายได้"""
rail,ทางรถไฟ,n.,"""The train travels on the rail.""","""รถไฟเดินทางบนราง"""
random,สุ่ม,adj.,"""Choose a random number between 1 and 10.""","""เลือกตัวเลขสุ่มระหว่าง 1 ถึง 10"""
range,พิสัย,v.,"""The range of products is impressive.""","""ความหลากหลายของผลิตภัณฑ์นั้นน่าประทับใจ"""
rank,อันดับ,n./ v.,"""Her performance earned her a high rank.""","""การแสดงของเธอทำให้เธอได้รับตำแหน่งสูง"""
rapid,รวดเร็ว,adj.,"""The car accelerated at a rapid rate.""","""รถเร่งความเร็วอย่างรวดเร็ว"""
rate,ประเมิน,v.,"""Can you rate this movie out of 10?""","""คุณสามารถให้คะแนนภาพยนตร์เรื่องนี้เต็ม 10 ได้หรือไม่?"""
rat,หนู,n.,"""A rat scurried across the floor.""","""หนูตัวหนึ่งรีบวิ่งข้ามพื้น"""
raw,ดิบ,adj.,"""Fresh fruit is raw and delicious.""","""ผลไม้สดดิบและอร่อย"""
reach,เข้าถึง,n.,"""We need to reach a compromise.""","""เราจำเป็นต้องบรรลุการประนีประนอม"""
realistic,เหมือนจริง,adj.,"""Being realistic is essential in planning.""","""ความสมจริงถือเป็นสิ่งสำคัญในการวางแผน"""
reasonable,มีเหตุผล,adj.,"""Your request is reasonable.""","""คำขอของคุณสมเหตุสมผล"""
rebuild,สร้างใหม่,v.,"""We need to rebuild the damaged house.""","""เราจำเป็นต้องสร้างบ้านที่เสียหายขึ้นมาใหม่"""
recall,จำ,v.,"""I can't recall his name.""","""ฉันจำชื่อเขาไม่ได้"""
receiver,ผู้รับ,n.,"""The receiver of the message understood it.""","""คนรับข้อความก็เข้าใจ"""
recession,ภาวะถดถอย,n.,"""The recession affected many businesses.""","""ภาวะเศรษฐกิจถดถอยส่งผลกระทบต่อธุรกิจจำนวนมาก"""
reckon,นับ,v,"""I reckon we should go now.""","""ฉันคิดว่าเราควรไปตอนนี้"""
recognition,การยอมรับ,n.,"""She received recognition for her efforts.""","""เธอได้รับการยอมรับในความพยายามของเธอ"""
recover,ฟื้นตัว,v.,"""I hope you recover quickly.""","""ฉันหวังว่าคุณจะฟื้นตัวอย่างรวดเร็ว"""
recruitment,การสรรหาบุคลากร,n.,"""The company is in the middle of recruitment.""","""บริษัทอยู่ระหว่างการรับสมัคร"""
recruit,สรรหาคน,v./ n.,"""They plan to recruit new employees.""","""พวกเขาวางแผนที่จะรับสมัครพนักงานใหม่"""
reduction,การลดน้อยลง,n.,"""There's been a reduction in pollution.""","""มีมลภาวะลดลง"""
referee,ผู้ตัดสิน,n.,"""The referee made a fair decision.""","""กรรมการตัดสินอย่างยุติธรรม"""
refugee,ผู้ลี้ภัย,n.,"""The refugee sought safety in a new country.""","""ผู้ลี้ภัยแสวงหาความปลอดภัยในประเทศใหม่"""
regard,คำนึงถึง,v./ n.,"""I have high regard for your opinion.""","""ฉันเคารพความคิดเห็นของคุณเป็นอย่างสูง"""
regional,ในระดับภูมิภาค,adj.,"""This is a regional issue.""","""นี่เป็นปัญหาระดับภูมิภาค"""
register,ลงทะเบียน,v./ n.,"""Please register for the event.""","""กรุณาลงทะเบียนเข้าร่วมงาน"""
registration,การลงทะเบียน,n.,"""Registration for the conference is open.""","""เปิดลงทะเบียนเข้าร่วมสัมมนาแล้ว"""
regret,เสียใจ,v./ n.,"""I regret not attending the party.""","""ฉันเสียใจที่ไม่ได้เข้าร่วมงานปาร์ตี้"""
regulate,ควบคุม,v.,"""We need to regulate these new rules.""","""เราจำเป็นต้องควบคุมกฎใหม่เหล่านี้"""
regulation,ระเบียบข้อบังคับ,n.,"""The regulation requires strict compliance.""","""กฎระเบียบกำหนดให้มีการปฏิบัติตามอย่างเคร่งครัด"""
reinforce,เสริมสร้าง,v.,"""We must reinforce our efforts.""","""เราต้องเสริมความพยายามของเรา"""
relatively,ค่อนข้าง,adv.,"""The cost is relatively low.""","""ต้นทุนค่อนข้างต่ำ"""
relevant,ที่เกี่ยวข้อง,adj.,"""Your input is relevant to the discussion.""","""ข้อมูลของคุณเกี่ยวข้องกับการสนทนา"""
relief,การบรรเทา,n.,"""I felt relief after finishing the exam.""","""ฉันรู้สึกโล่งใจหลังจากสอบเสร็จ"""
relieve,บรรเทา,v.,"""Drinking tea can relieve stress.""","""การดื่มชาสามารถคลายความเครียดได้"""
rely,พึ่งพา,v.,"""I rely on my alarm to wake me up.""","""ฉันพึ่งนาฬิกาปลุกเพื่อปลุกฉัน"""
remark,ข้อสังเกต,n./ v.,"""His remark caught everyone's attention.""","""คำพูดของเขาดึงดูดความสนใจของทุกคน"""
reporting,การรายงาน,n.,"""She works as a reporting analyst.""","""เธอทำงานเป็นนักวิเคราะห์การรายงาน"""
representative,ตัวแทน,n./ adj.,"""He's our representative in Congress.""","""เขาเป็นตัวแทนของเราในสภาคองเกรส"""
reputation,ชื่อเสียง,n.,"""His reputation is impeccable.""","""ชื่อเสียงของเขาไร้ที่ติ"""
requirement,ความต้องการ,n.,"""Meeting the requirement is essential.""","""การตอบสนองความต้องการเป็นสิ่งสำคัญ"""
rescue,กู้ภัย,v./ n.,"""The rescue team saved the hikers.""","""ทีมกู้ภัยช่วยนักเดินป่าได้"""
reserve,จอง,n./ v.,"""We need to reserve a table for dinner.""","""เราต้องจองโต๊ะสำหรับมื้อเย็น"""
resident,ถิ่นที่อยู่,n./ adj.,"""He is a longtime resident of the city.""","""เขาเป็นชาวเมืองมายาวนาน"""
resign,ลาออก,v.,"""She decided to resign from her job.""","""เธอตัดสินใจลาออกจากงาน"""
resist,ต้านทาน,v.,"""They resist change at all costs.""","""พวกเขาต่อต้านการเปลี่ยนแปลงในทุกกรณี"""
resolution,ปณิธาน,n.,"""Let's make a resolution to exercise more.""","""เรามาตั้งปณิธานในการออกกำลังกายกันมากขึ้น"""
resolve,แก้ไข,v.,"""We'll resolve the issue together.""","""เราจะแก้ไขปัญหาร่วมกัน"""
resort,รีสอร์ท,n.,"""We can resort to Plan B.""","""เราสามารถใช้แผนบีได้"""
restore,คืนค่า,v.,"""They aim to restore the old building.""","""พวกเขามุ่งหวังที่จะฟื้นฟูอาคารเก่า"""
restriction,ข้อ จำกัด,n.,"""There's a restriction on smoking indoors.""","""มีข้อจำกัดในการสูบบุหรี่ภายในอาคาร"""
restrict,จำกัด,v.,"""Please don't restrict my freedom.""","""โปรดอย่าจำกัดเสรีภาพของฉัน"""
retail,ขายปลีก,n.,"""The retail store is open until 9 PM.""","""ร้านค้าปลีกเปิดจนถึง 21.00 น."""
retain,เก็บไว้,v.,"""We want to retain our best employees.""","""เราต้องการรักษาพนักงานที่ดีที่สุดของเราไว้"""
retirement,เกษียณอายุ,n.,"""Retirement brings new opportunities.""","""การเกษียณอายุนำมาซึ่งโอกาสใหม่ๆ"""
reveal,เปิดเผย,v.,"""I will reveal the secret tomorrow.""","""ฉันจะเปิดเผยความลับพรุ่งนี้"""
revenue,รายได้,n.,"""The company's revenue increased.""","""รายได้ของบริษัทก็เพิ่มขึ้น"""
revision,การแก้ไข,n.,"""He's working on a revision of the book.""","""เขากำลังทำงานแก้ไขหนังสือ"""
reward,รางวัล,n./ v.,"""Your hard work deserves a reward.""","""การทำงานหนักของคุณสมควรได้รับรางวัล"""
rhythm,จังหวะ,n.,"""The music has a catchy rhythm.""","""ดนตรีมีจังหวะที่ไพเราะ"""
ridiculous,น่าขัน,adj.,"""His outfit looks ridiculous.""","""การแต่งตัวของเขาดูไร้สาระ"""
rid,กำจัด,v.,"""Let's rid the garden of weeds.""","""มากำจัดวัชพืชในสวนกันเถอะ"""
risky,เสี่ยง,adj.,"""It's risky to invest in that stock.""","""การลงทุนในหุ้นนั้นมีความเสี่ยง"""
rival,คู่แข่ง,n./ adj.,"""They are rivals in the competition.""","""พวกเขาเป็นคู่แข่งกันในการแข่งขัน"""
robbery,การปล้น,n.,"""The robbery took place last night.""","""การปล้นเกิดขึ้นเมื่อคืนนี้"""
rob,ปล้น,v.,"""Don't rob others of their happiness.""","""อย่าปล้นความสุขของคนอื่น"""
rocket,จรวด,n.,"""The rocket launched into space.""","""จรวดถูกปล่อยออกสู่อวกาศ"""
romance,โรแมนติก,n.,"""Their romance is a beautiful story.""","""ความรักของพวกเขาเป็นเรื่องราวที่สวยงาม"""
root,ราก,n.,"""The root of the problem is unclear.""","""สาเหตุของปัญหาไม่ชัดเจน"""
rose,ดอกกุหลาบ,n.,"""She received a bouquet of roses.""","""เธอได้รับช่อกุหลาบ"""
roughly,ประมาณ,adv.,"""It will take roughly an hour.""","""จะใช้เวลาประมาณหนึ่งชั่วโมง"""
round,กลม,n.,"""Let's sit in a circle.""","""ให้เรานั่งเป็นวงกลม"""
routine,กิจวัตรประจำวัน,adj.,"""I have a morning routine.""","""ฉันมีกิจวัตรตอนเช้า"""
rubber,ยาง,n./ adj.,"""The ball is made of rubber.""","""ลูกบอลทำจากยาง"""
rub,ถู,v.,"""Rub the stain gently.""","""ถูคราบเบาๆ"""
ruin,ทำลาย,v./ n.,"""Neglect can ruin relationships.""","""การละเลยสามารถทำลายความสัมพันธ์ได้"""
rural,ชนบท,adj.,"""Life in rural areas is peaceful.""","""ชีวิตในชนบทมีความสงบสุข"""
rush,รีบ,v./ n.,"""Don't rush; take your time.""","""อย่ารีบเร่ง; ใช้เวลาของคุณ"""
sample,ตัวอย่าง,v.,"""Try this sample of our new product.""","""ลองตัวอย่างผลิตภัณฑ์ใหม่ของเรานี้"""
satellite,ดาวเทียม,n.,"""The satellite orbits the Earth.""","""ดาวเทียมโคจรรอบโลก"""
satisfy,ทำให้พึงพอใจ,v.,"""Your support will satisfy their needs.""","""การสนับสนุนของคุณจะตอบสนองความต้องการของพวกเขา"""
saving,ประหยัด,n.,"""Saving money is a wise choice.""","""การประหยัดเงินเป็นทางเลือกที่ชาญฉลาด"""
scale,มาตราส่วน,n.,"""The scale measures your weight.""","""เครื่องชั่งวัดน้ำหนักของคุณ"""
scandal,เรื่องอื้อฉาว,n.,"""The scandal made headlines.""","""เรื่องอื้อฉาวกลายเป็นหัวข้อข่าว"""
scare,ทำให้ตกใจ,v./ n.,"""Don't scare me like that!""","""อย่าทำให้ฉันกลัวแบบนั้นสิ!"""
scenario,สถานการณ์,n.,"""We need to plan for every scenario.""","""เราจำเป็นต้องวางแผนสำหรับทุกสถานการณ์"""
schedule,กำหนดการ,v.,"""I have a busy schedule today.""","""วันนี้ฉันมีตารางงานยุ่ง"""
scheme,โครงการ,n.,"""He devised a brilliant scheme.""","""เขาคิดแผนการที่ยอดเยี่ยม"""
scholar,นักวิชาการ,n.,"""She's a talented scholar.""","""เธอเป็นนักวิชาการที่มีพรสวรรค์"""
scratch,รอยขีดข่วน,v./ n.,"""I got a scratch on my arm.""","""ฉันมีรอยขีดข่วนบนแขนของฉัน"""
scream,กรี๊ด,v./ n.,"""She let out a scream.""","""เธอกรีดร้องออกมา"""
screen,หน้าจอ,v.,"""The movie played on the big screen.""","""ภาพยนตร์เรื่องนี้เล่นบนจอใหญ่"""
seat,ที่นั่ง,v.,"""Find your seat in the theater.""","""ค้นหาที่นั่งของคุณในโรงละคร"""
sector,ภาค,n.,"""The tech sector is booming.""","""ภาคเทคโนโลยีกำลังเฟื่องฟู"""
secure,ปลอดภัย,v./ adj.,"""Make sure to secure your valuables.""","""อย่าลืมรักษาสิ่งของมีค่าของคุณให้ปลอดภัย"""
seeker,ผู้แสวงหา,n.,"""The job seeker interviewed well.""","""ผู้หางานให้สัมภาษณ์อย่างดี"""
seek,แสวงหา,v.,"""We seek happiness in life.""","""เราแสวงหาความสุขในชีวิต"""
selection,การเลือก,n.,"""The selection process is rigorous.""","""กระบวนการคัดเลือกมีความเข้มงวด"""
select,เลือก,v.,"""Please select your preferred option.""","""โปรดเลือกตัวเลือกที่คุณต้องการ"""
self,ตัวเอง,n.,"""He's a self-made entrepreneur.""","""เขาเป็นผู้ประกอบการที่ทำเอง"""
seminar,สัมมนา,n.,"""She attended a seminar on leadership.""","""เธอเข้าร่วมสัมมนาเรื่องความเป็นผู้นำ"""
senior,อาวุโส,adj.,"""He's a senior member of the team.""","""เขาเป็นสมาชิกอาวุโสของทีม"""
sense,ความรู้สึก,v.,"""Common sense is important.""","""สามัญสำนึกเป็นสิ่งสำคัญ"""
sensitive,อ่อนไหว,adj.,"""She's sensitive to criticism.""","""เธออ่อนไหวต่อการวิพากษ์วิจารณ์"""
sentence,ประโยค,v.,"""The judge issued a sentence.""","""ผู้พิพากษาได้พิพากษาลงโทษ"""
sequence,ลำดับ,n.,"""Follow the sequence of steps.""","""ปฏิบัติตามลำดับขั้นตอน"""
session,การประชุม,n.,"""The therapy session was helpful.""","""เซสชันการบำบัดมีประโยชน์"""
settle,ชำระ,v.,"""Let's settle this peacefully.""","""มายุติเรื่องนี้อย่างสันติกันเถอะ"""
severe,รุนแรง,adj.,"""The storm caused severe damage.""","""พายุทำให้เกิดความเสียหายร้ายแรง"""
severely,อย่างรุนแรง,adv.,"""The drought severely affected crops.""","""ภัยแล้งส่งผลกระทบอย่างรุนแรงต่อพืชผล"""
shade,ร่มเงา,n,"""Find shade on a hot day.""","""หาร่มเงาในวันที่อากาศร้อนอบอ้าว"""
shadow,เงา,n.,"""A shadow appeared on the wall.""","""เงาปรากฏอยู่บนผนัง"""
shallow,ตื้น,adj.,"""The pond is shallow.""","""บ่อน้ำตื้น"""
shame,ความอัปยศ,n.,"""Don't feel shame; it's okay.""","""อย่ารู้สึกละอายใจ ใช้ได้."""
shape,รูปร่าง,v.,"""The sculpture has a unique shape.""","""ประติมากรรมมีรูปร่างที่เป็นเอกลักษณ์"""
shelter,ที่หลบภัย,n./ v.,"""The homeless seek shelter.""","""คนไร้บ้านก็หาที่พักพิง"""
shift,กะ,v.,"""We need to shift our focus.""","""เราจำเป็นต้องเปลี่ยนโฟกัสของเรา"""
ship,เรือ,v.,"""The ship sailed across the ocean.""","""เรือแล่นข้ามมหาสมุทร"""
shocked,ตกใจ,adj.,"""She was shocked by the news.""","""เธอตกใจกับข่าวนี้"""
shock,ช็อก,n./ v.,"""An electric shock is dangerous.""","""ไฟฟ้าช็อตเป็นอันตราย"""
shooting,การยิง,n.,"""The shooting scared everyone.""","""เหตุกราดยิงทำให้ทุกคนหวาดกลัว"""
shore,ฝั่ง,n.,"""The beach has a beautiful shore.""","""ชายหาดมีชายฝั่งที่สวยงาม"""
shortage,การขาดแคลน,n.,"""There's a shortage of food.""","""มีอาหารขาดแคลน."""
shortly,ไม่นาน,adv.,"""I'll call you shortly.""","""ฉันจะโทรหาคุณเร็วๆ นี้"""
short-term,ช่วงเวลาสั้น ๆ,adj.,"""It's just a short-term solution.""","""มันเป็นเพียงวิธีแก้ปัญหาระยะสั้น"""
shot,ยิง,n.,"""He took a shot at the target.""","""เขายิงไปที่เป้าหมาย"""
sibling,พี่น้อง,n.,"""My sibling is my best friend.""","""พี่ชายของฉันเป็นเพื่อนที่ดีที่สุดของฉัน"""
signature,ลายเซ็น,n.,"""Please sign your name.""","""กรุณาลงชื่อของคุณ."""
significance,ความสำคัญ,n.,"""The significance of the discovery is immense.""","""ความสำคัญของการค้นพบนี้ยิ่งใหญ่มาก"""
significant,สำคัญ,adj.,"""This project is significant.""","""โครงการนี้มีความสำคัญ"""
silence,ความเงียบ,n.,"""A moment of silence, please.""","""ขอความเงียบสักครู่"""
silk,ผ้าไหม,n.,"""Her dress was made of silk.""","""ชุดของเธอทำจากผ้าไหม"""
sincere,จริงใจ,adj.,"""Thank you for your sincere help.""","""ขอบคุณสำหรับความช่วยเหลืออย่างจริงใจของคุณ"""
skilled,มีทักษะ,adj.,"""He's a skilled craftsman.""","""เขาเป็นช่างฝีมือที่มีทักษะ"""
skull,กะโหลกศีรษะ,n.,"""The skull protects the brain.""","""กะโหลกศีรษะช่วยปกป้องสมอง"""
slave,ทาส,n.,"""Slavery is a dark part of history.""","""การค้าทาสเป็นส่วนมืดของประวัติศาสตร์"""
slide,สไลด์,v./ n.,"""Slide down the playground slide.""","""เลื่อนสไลด์สนามเด็กเล่นลงมา"""
slight,เล็กน้อย,adj.,"""I noticed a slight change.""","""ฉันสังเกตเห็นการเปลี่ยนแปลงเล็กน้อย"""
slip,ลื่น,v.,"""Be careful not to slip.""","""ระวังอย่าให้หลุด"""
slogan,คำขวัญ,n.,"""The company's slogan is catchy.""","""สโลแกนของบริษัทติดหู"""
slope,ความลาดชัน,n./ v.,"""The road has a steep slope.""","""ถนนมีความลาดชันสูง"""
so-called,ที่เรียกว่า,adj.,"""The so-called expert was wrong.""","""ผู้ที่เรียกว่าผู้เชี่ยวชาญนั้นผิด"""
solar,แสงอาทิตย์,adj.,"""Solar panels harness the sun's energy.""","""แผงเซลล์แสงอาทิตย์ควบคุมพลังงานจากดวงอาทิตย์"""
somehow,อย่างใด,adv.,"""I'll figure it out somehow.""","""ฉันจะคิดออกอย่างใด"""
sometime,บางครั้ง,adv.,"""Let's meet sometime next week.""","""ไว้เจอกันใหม่สัปดาห์หน้าครับ"""
somewhat,ค่อนข้าง,adv.,"""The cake was somewhat sweet.""","""เค้กก็ค่อนข้างหวาน"""
sophisticated,ช่ำชอง,adj.,"""She has a sophisticated taste.""","""เธอมีรสนิยมอันซับซ้อน"""
soul,วิญญาณ,n.,"""The soul is timeless.""","""วิญญาณเป็นอมตะ"""
spare,สำรอง,adj.,"""Keep a spare key just in case.""","""เก็บกุญแจสำรองไว้เผื่อไว้"""
specialist,ผู้เชี่ยวชาญ,n./ adj.,"""He's a specialist in heart surgery.""","""เขาเป็นผู้เชี่ยวชาญด้านการผ่าตัดหัวใจ"""
specialize,เชี่ยวชาญ,v.,"""I specialize in marketing.""","""ฉันเชี่ยวชาญด้านการตลาด"""
species,สายพันธุ์,n.,"""Tigers are a species of big cats.""","""เสือเป็นแมวพันธุ์ใหญ่"""
specify,ระบุ,v.,"""Please specify your preferences.""","""กรุณาระบุความต้องการของคุณ"""
spectacular,งดงาม,adj.,"""The fireworks show was spectacular.""","""การแสดงดอกไม้ไฟนั้นตระการตามาก"""
spectator,ผู้ชม,n.,"""The spectators cheered for the team.""","""ผู้ชมต่างส่งเสียงเชียร์ทีม"""
speculate,คาดเดา,v.,"""Don't speculate about the future.""","""อย่าคาดเดาเกี่ยวกับอนาคต"""
speculation,การเก็งกำไร,n.,"""There's speculation about the stock market.""","""มีการเก็งกำไรเกี่ยวกับตลาดหุ้น"""
speed,ความเร็ว,v.,"""The car reached a high speed.""","""รถมาถึงด้วยความเร็วสูง"""
spice,เครื่องเทศ,n.,"""Add some spice to the dish.""","""เพิ่มเครื่องเทศลงในจาน"""
spill,หก,v.,"""Be careful not to spill.""","""ระวังอย่าให้หก"""
spiritual,จิตวิญญาณ,adj.,"""She finds comfort in her spiritual beliefs.""","""เธอพบการปลอบโยนในความเชื่อทางจิตวิญญาณของเธอ"""
spite,ทั้งๆที่,n.,"""Out of spite, he ruined the surprise.""","""แต่เขากลับทำลายความประหลาดใจนั้นเสีย"""
split,แยก,v./ n.,"""Let's split the bill evenly.""","""ให้แบ่งบิลเท่าๆ กัน"""
spoil,นิสัยเสีย,v.,"""Don't let success spoil you.""","""อย่าปล่อยให้ความสำเร็จมาทำลายคุณ"""
spokesman,โฆษก,n.,"""The spokesman addressed the media.""","""โฆษกกล่าวปราศรัยกับสื่อมวลชน"""
sponsorship,การสนับสนุน,n.,"""The event received sponsorship.""","""งานนี้ได้รับการสนับสนุน"""
sponsor,สปอนเซอร์,v./ n.,"""The company is a proud sponsor.""","""บริษัทเป็นผู้สนับสนุนที่น่าภาคภูมิใจ"""
sporting,กีฬา,adj.,"""Sporting events are exciting.""","""การแข่งขันกีฬาเป็นเรื่องที่น่าตื่นเต้น"""
spot,จุด,v.,"""Find a quiet spot to relax.""","""หาสถานที่เงียบสงบเพื่อผ่อนคลาย"""
spread,การแพร่กระจาย,n.,"""Spread the news to everyone.""","""แจ้งข่าวให้ทราบโดยทั่วกัน"""
stable,มั่นคง,adj.,"""The horse is stable in the barn.""","""ม้าอยู่ในโรงนาอย่างมั่นคง"""
stage,เวที,v.,"""The play is on the stage.""","""ละครอยู่บนเวที"""
stall,แผงลอย,n.,"""Visit the food stall at the fair.""","""เยี่ยมชมแผงขายอาหารภายในงาน"""
stance,ท่าที,n.,"""His stance on the issue is clear.""","""จุดยืนของเขาในประเด็นนี้ชัดเจน"""
stand,ยืน,n.,"""She asked him to stand next to her.""","""เธอขอให้เขายืนเคียงข้างเธอ"""
stare,จ้อง,v.,"""Don't just stare at me.""","""อย่าเพิ่งมองมาที่ฉัน"""
starve,อดอาหาร,v.,"""People starve without food.""","""ผู้คนอดอยากโดยไม่มีอาหาร"""
status,สถานะ,n.,"""What's your current status?""","""สถานะปัจจุบันของคุณคืออะไร?"""
steady,มั่นคง,adj.,"""Progress is steady.""","""ความก้าวหน้ามีความมั่นคง"""
steam,ไอน้ำ,n.,"""Steam rises from the kettle.""","""ไอน้ำลอยขึ้นมาจากกาต้มน้ำ"""
steel,เหล็ก,n.,"""The building is made of steel.""","""ตัวอาคารทำจากเหล็ก"""
steep,สูงชัน,adj.,"""The hill is too steep.""","""เนินเขาสูงชันเกินไป"""
step,ขั้นตอน,v.,"""Take one step at a time.""","""ก้าวไปทีละก้าว"""
sticky,เหนียว,adj.,"""The candy is sticky.""","""ลูกอมมีความเหนียว"""
stiff,แข็ง,adj.,"""The old man's joints are stiff.""","""ข้อต่อของชายชราแข็งทื่อ"""
stimulate,กระตุ้น,v.,"""Music can stimulate emotions.""","""ดนตรีสามารถกระตุ้นอารมณ์ได้"""
stock,คลังสินค้า,n.,"""Check the stock market.""","""ตรวจสอบตลาดหุ้น"""
stream,ลำธาร,n.,"""A stream flows through the forest.""","""มีลำธารไหลผ่านป่า"""
strengthen,เสริมสร้าง,v.,"""Exercise to strengthen your muscles.""","""ออกกำลังกายเพื่อเสริมสร้างกล้ามเนื้อของคุณ"""
stretch,ยืด,v./ n.,"""Stretch before exercising.""","""ยืดเหยียดก่อนออกกำลังกาย"""
strict,เข้มงวด,adj.,"""The rules are strict.""","""กฎเกณฑ์มีความเข้มงวด"""
strike,โจมตี,v./ n.,"""Follow the instructions strictly.""","""ปฏิบัติตามคำแนะนำอย่างเคร่งครัด"""
stroke,จังหวะ,n.,"""Workers may strike for better pay.""","""คนงานอาจนัดหยุดงานเพื่อรับค่าจ้างที่ดีกว่า"""
structure,โครงสร้าง,v.,"""A stroke can be life-threatening.""","""โรคหลอดเลือดสมองอาจเป็นอันตรายถึงชีวิตได้"""
struggle,การต่อสู้,v./ n.,"""The bridge is a crucial structure.""","""สะพานเป็นโครงสร้างที่สำคัญ"""
stuff,สิ่งของ,v.,"""Many people struggle in life.""","""หลายคนดิ้นรนในชีวิต"""
stunning,น่าทึ่ง,adj.,"""Put your stuff in the bag.""","""ใส่สิ่งของของคุณลงในกระเป๋า"""
subject,เรื่อง,adj.,"""The view from the hill is stunning.""","""วิวจากเนินเขาสวยงามมาก"""
submit,ส่ง,v.,"""History is my favorite subject.""","""ประวัติศาสตร์เป็นวิชาที่ฉันชอบ"""
subsequent,ภายหลัง,adj.,"""Please submit your report.""","""กรุณาส่งรายงานของคุณ"""
suburb,ชานเมือง,n.,"""Subsequent events were unpredictable.""","""เหตุการณ์ต่อมาไม่อาจคาดเดาได้"""
suffering,ความทุกข์,n.,"""He lives in the suburb.""","""เขาอาศัยอยู่ในแถบชานเมือง"""
sufficient,เพียงพอ,adj.,"""The suffering of the refugees is heartbreaking.""","""ความทุกข์ทรมานของผู้ลี้ภัยนั้นน่าสะเทือนใจ"""
sufficiently,อย่างเพียงพอ,adv.,"""Have you had a sufficient meal?""","""คุณได้ทานอาหารเพียงพอแล้วหรือยัง?"""
sum,ผลรวม,n./ v.,"""We've saved enough money sufficiently.""","""เราประหยัดเงินได้เพียงพอแล้ว"""
super,สุด ๆ,adj.,"""Add up the numbers to get the sum.""","""บวกตัวเลขเพื่อให้ได้ผลรวม"""
surgeon,ศัลยแพทย์,n.,"""He's a super athlete.""","""เขาเป็นนักกีฬาชั้นยอด"""
surround,ล้อมรอบ,v.,"""The surgeon will perform the surgery.""","""ศัลยแพทย์จะทำการผ่าตัด"""
survey,สำรวจ,v.,"""Mountains surround the valley.""","""ภูเขาล้อมรอบหุบเขา"""
suspect,สงสัย,v./ n.,"""Conduct a survey to gather data.""","""ดำเนินการสำรวจเพื่อรวบรวมข้อมูล"""
suspend,ระงับ,v.,"""I suspect something is wrong.""","""ฉันสงสัยว่ามีบางอย่างผิดปกติ"""
sustainable,ที่ยั่งยืน,adj.,"""They had to suspend the game.""","""พวกเขาต้องระงับเกม"""
swallow,กลืน,v.,"""Sustainable practices protect the environment.""","""แนวทางปฏิบัติที่ยั่งยืนช่วยปกป้องสิ่งแวดล้อม"""
swear,สาบาน,v.,"""Swallow the medicine with water.""","""กลืนยาด้วยน้ำ"""
sweep,กวาด,v.,"""Don't swear in front of children.""","""อย่าสาบานต่อหน้าเด็ก"""
switch,สวิตช์,n.,"""Use a broom to sweep the floor.""","""ใช้ไม้กวาดกวาดพื้น"""
sympathy,ความเห็นอกเห็นใจ,n.,"""Switch off the lights when you leave.""","""ปิดไฟเมื่อคุณออกเดินทาง"""
tackle,ต่อสู้,v.,"""Show sympathy to those in need.""","""แสดงความเห็นอกเห็นใจต่อผู้ที่ต้องการความช่วยเหลือ"""
tag,แท็ก,n./ v.,"""Tackle the problem head-on.""","""แก้ไขปัญหาเฉพาะหน้า."""
tale,เรื่อง,n.,"""Put a price tag on the item.""","""ติดป้ายราคาสินค้า."""
