Word,Translation,Part of Speech,Example Sentence,Translation
rejection,การปฏิเสธ,n.,Her rejection of his proposal hurt.,การที่เธอปฏิเสธข้อเสนอของเขาทำให้เธอเจ็บปวด
relevance,ความเกี่ยวข้อง,n.,The relevance of the topic is important.,ความเกี่ยวข้องของหัวข้อเป็นสิ่งสำคัญ
reliability,ความน่าเชื่อถือ,n.,The reliability of the source is questionable.,ความน่าเชื่อถือของแหล่งที่มายังเป็นที่น่าสงสัย
reluctant,ไม่เต็มใจ,adj.,He was reluctant to speak in public.,เขาลังเลที่จะพูดในที่สาธารณะ
remainder,ส่วนที่เหลือ,n.,The remainder of the cake is yours.,เค้กที่เหลือเป็นของคุณ
remains,ยังคงอยู่,n.,The ancient city's remains were uncovered.,ซากเมืองโบราณถูกค้นพบ
remedy,วิธีการรักษา,n.,The remedy for the ailment is effective.,การรักษาโรคก็ได้ผล
reminder,เตือนความจำ,n.,Set a reminder for the meeting.,ตั้งค่าการเตือนสำหรับการประชุม
removal,การกำจัด,n.,The removal of the old furniture was necessary.,จำเป็นต้องรื้อเฟอร์นิเจอร์เก่าออก
render,แสดงผล,v.,He will render his opinion on the matter.,เขาจะแสดงความคิดเห็นในเรื่องนี้
renew,ต่ออายุ,v.,She plans to renew her lease.,เธอวางแผนที่จะต่ออายุสัญญาเช่าของเธอ
renowned,มีชื่อเสียง,adj.,The artist is renowned for their work.,ศิลปินมีชื่อเสียงจากผลงานของพวกเขา
rental,เช่า,n.,The rental car was comfortable.,รถเช่าก็สะดวกสบาย
replacement,การทดแทน,n.,They ordered a replacement part for the machine.,พวกเขาสั่งอะไหล่ทดแทนสำหรับเครื่อง
reportedly,ตามรายงาน,adv.,"Reportedly, the event was a huge success.",มีรายงานว่างานนี้ประสบความสำเร็จอย่างมาก
representation,การเป็นตัวแทน,n.,Representation in government is important.,การเป็นตัวแทนในรัฐบาลเป็นสิ่งสำคัญ
reproduce,สืบพันธุ์,v.,Organisms can reproduce to create offspring.,สิ่งมีชีวิตสามารถสืบพันธุ์เพื่อสร้างลูกหลานได้
republic,สาธารณรัฐ,n.,The country is a republic with elected leaders.,ประเทศนี้เป็นสาธารณรัฐที่มีผู้นำที่ได้รับเลือก
resemble,มีลักษณะคล้ายกัน,v.,Some say they resemble each other.,บ้างก็ว่าคล้ายกัน
reside,อาศัยอยู่,v.,They reside in a quiet neighborhood.,พวกเขาอาศัยอยู่ในย่านที่เงียบสงบ
residence,ถิ่นที่อยู่,n.,His residence is a beautiful mansion.,ที่อยู่อาศัยของเขาเป็นคฤหาสน์ที่สวยงาม
residential,ที่อยู่อาศัย,adj.,The area is mostly residential.,พื้นที่ส่วนใหญ่เป็นที่พักอาศัย
residue,สารตกค้าง,n.,There was a residue left behind.,มีสารตกค้างหลงเหลืออยู่
resignation,ลาออก,n.,His resignation came as a surprise.,การลาออกของเขาเป็นเรื่องที่น่าประหลาดใจ
resistance,ความต้านทาน,n.,The resistance fought for their freedom.,ฝ่ายต่อต้านต่อสู้เพื่ออิสรภาพของพวกเขา
respective,ตามลำดับ,adj.,The respective teams performed well.,ทีมที่เกี่ยวข้องทำผลงานได้ดี
restoration,การบูรณะ,n.,The restoration of the old building is ongoing.,การบูรณะอาคารเก่ากำลังดำเนินอยู่
restraint,ความยับยั้งชั่งใจ,n.,Show restraint in your reactions.,แสดงความยับยั้งชั่งใจในปฏิกิริยาของคุณ
resume,ประวัติย่อ,v.,He plans to resume work after the break.,เขาวางแผนที่จะกลับมาทำงานต่อหลังจากหยุดพัก
retreat,ล่าถอย,n./ v.,They retreated from the battle.,พวกเขาถอยออกจากการสู้รบ
retrieve,เรียกคืน,v.,Can you retrieve the lost documents?,คุณสามารถเรียกคืนเอกสารที่สูญหายได้หรือไม่?
revelation,การเปิดเผย,n.,The revelation of the truth shocked everyone.,การเปิดเผยความจริงทำให้ทุกคนตกใจ
revenge,แก้แค้น,n.,He sought revenge against his enemies.,เขาหาทางแก้แค้นศัตรูของเขา
reverse,ย้อนกลับ,v. / n./ adj.,The car can reverse easily.,รถสามารถถอยหลังได้ง่าย
revival,การฟื้นฟู,n.,The revival of the tradition was celebrated.,มีการเฉลิมฉลองการฟื้นฟูประเพณี
revive,ฟื้นขึ้นมา,v.,The doctor's goal is to revive the patient.,เป้าหมายของแพทย์คือการฟื้นฟูผู้ป่วย
revolutionary,ปฏิวัติ,adj.,He was a revolutionary thinker.,เขาเป็นนักคิดที่ปฏิวัติ
rhetoric,วาทศาสตร์,n.,His rhetoric was persuasive.,วาทศิลป์ของเขาโน้มน้าวใจ
rifle,ปืนไรเฟิล,n.,The soldier carried a rifle.,ทหารคนนั้นถือปืนไรเฟิล
riot,จลาจล,n.,A riot broke out in the city.,เกิดการจลาจลขึ้นในเมือง
rip,ฉีก,v.,Don't rip the paper; use scissors.,อย่าทำให้กระดาษขาด ใช้กรรไกร
ritual,พิธีกรรม,n.,They performed a religious ritual.,พวกเขาประกอบพิธีกรรมทางศาสนา
robust,แข็งแกร่ง,adj.,He has a robust constitution.,เขามีรัฐธรรมนูญที่แข็งแกร่ง
rock,หิน,v.,The boat hit a rock in the water.,เรือชนก้อนหินในน้ำ
rod,คัน,n.,Use a fishing rod for angling.,ใช้คันเบ็ดในการตกปลา
rotate,หมุน,v.,Rotate the wheel to adjust the settings.,หมุนวงล้อเพื่อปรับการตั้งค่า
ruling,การพิจารณาคดี,n.,The court issued a ruling on the case.,ศาลมีคำพิพากษาคดีนี้
rumour,ข่าวลือ,n.,Don't believe every rumor you hear.,อย่าเชื่อทุกข่าวลือที่คุณได้ยิน
sack,กระสอบ,v.,He received a sack of potatoes.,เขาได้รับมันฝรั่งหนึ่งกระสอบ
sacred,ศักดิ์สิทธิ์,adj.,The temple is considered sacred.,วัดนี้ถือว่าศักดิ์สิทธิ์
sacrifice,เสียสละ,n./ v.,The sacrifice of the brave soldiers is remembered.,รำลึกถึงความเสียสละของทหารหาญกล้า
saint,นักบุญ,n.,Saint Francis is known for his compassion.,นักบุญฟรานซิสมีชื่อเสียงในเรื่องความเมตตา
sake,สาเก,n.,They did it for the sake of their friendship.,พวกเขาทำเพื่อมิตรภาพของพวกเขา
sanction,การลงโทษ,n.,The government imposed sanctions on the country.,รัฐบาลกำหนดมาตรการคว่ำบาตรในประเทศ
scattered,กระจัดกระจาย,adj.,The leaves were scattered by the wind.,ใบไม้ก็ปลิวตามสายลม
sceptical,ไม่เชื่อ,adj.,She was sceptical about the plan.,เธอสงสัยเกี่ยวกับแผนนี้
scope,ขอบเขต,n.,The project's scope is extensive.,ขอบเขตของโครงการนั้นกว้างขวาง
screw,สกรู,v./ n.,Use a screwdriver to tighten the screw.,ใช้ไขควงขันสกรูให้แน่น
scrutiny,การตรวจสอบข้อเท็จจริง,n.,The document underwent careful scrutiny.,เอกสารดังกล่าวได้รับการตรวจสอบอย่างละเอียดถี่ถ้วน
seal,ผนึก,v./ n.,The seal on the envelope was intact.,ตราประทับบนซองจดหมายไม่เสียหาย
secular,ฆราวาส,adj.,Some people prefer secular celebrations.,บางคนชอบการเฉลิมฉลองทางโลก
seemingly,ดูเหมือน,adv.,The seemingly simple task proved challenging.,งานที่ดูเหมือนเรียบง่ายได้รับการพิสูจน์แล้วว่ามีความท้าทาย
segment,ส่วน,n.,Divide the project into segments.,แบ่งโครงการออกเป็นส่วนๆ
seize,ยึด,v.,They can seize the opportunity.,พวกเขาสามารถคว้าโอกาสนี้ไว้ได้
seldom,ไม่ค่อย,adv.,He seldom visits his hometown.,เขาไม่ค่อยได้ไปเยี่ยมบ้านเกิดของเขา
selective,เลือกสรร,adj.,The university has a selective admissions process.,มหาวิทยาลัยมีกระบวนการรับสมัครแบบคัดเลือก
senator,วุฒิสมาชิก,n.,The senator proposed a new bill.,สมาชิกวุฒิสภาเสนอร่างกฎหมายใหม่
sensation,ความรู้สึก,n.,The news created a sensation.,ข่าวดังกล่าวสร้างความฮือฮา
sensitivity,ความไว,n.,Her sensitivity to others' feelings is admirable.,ความอ่อนไหวของเธอต่อความรู้สึกของผู้อื่นเป็นสิ่งที่น่าชื่นชม
sentiment,ความเชื่อมั่น,n.,The sentiment of the crowd was positive.,ความรู้สึกของฝูงชนเป็นบวก
separation,การแยก,n.,The separation was difficult for both.,การแยกจากกันเป็นเรื่องยากสำหรับทั้งคู่
serial,อนุกรม,adj.,It's a serial novel with many episodes.,เป็นนิยายซีเรียลที่มีหลายตอน
settlement,การตั้งถิ่นฐาน,n.,They reached a peaceful settlement.,พวกเขาบรรลุข้อตกลงอันสงบสุข
set-up,การตั้งค่า,n.,The set-up for the event was elaborate.,การจัดงานมีความละเอียดรอบคอบ
sexuality,เรื่องเพศ,n.,Discussions about sexuality are important.,การอภิปรายเกี่ยวกับเรื่องเพศเป็นสิ่งสำคัญ
shareholder,ผู้ถือหุ้น,n.,Shareholders have a stake in the company.,ผู้ถือหุ้นมีส่วนได้เสียในบริษัท
shatter,ป่นปี้,v.,The news seemed to shatter her world.,ข่าวดูเหมือนจะทำให้โลกของเธอแตกสลาย
shed,หลั่งน้ำตา,v.,He shed tears at the sad story.,เขาหลั่งน้ำตากับเรื่องราวที่น่าเศร้า
sheer,เลี่ยง,adj.,The sheer size of the mountain is impressive.,ขนาดอันใหญ่โตของภูเขานั้นน่าประทับใจมาก
shipping,การส่งสินค้า,n.,The shipping of goods is efficient.,การขนส่งสินค้ามีประสิทธิภาพ
shoot,ยิง,n.,He decided to shoot some hoops.,เขาตัดสินใจยิงห่วง
shrink,หด,v.,The company's profits began to shrink.,กำไรของบริษัทเริ่มหดตัว
shrug,ยัก,v.,She gave a casual shrug.,เธอยักไหล่สบายๆ
sigh,ถอนหายใจ,v./ n.,He let out a sigh of relief.,เขาถอนหายใจด้วยความโล่งอก
simulate,จำลอง แกล้งทำ,v.,"He tried to simulate surprise, but everyone could tell he already knew.",เขาพยายามจำลองความประหลาดใจ แต่ทุกคนก็บอกได้ว่าเขารู้อยู่แล้ว
sin,บาป,n.,Forgiving others is a way to absolve sin.,การให้อภัยผู้อื่นเป็นวิธีการปลดบาป
situated,ตั้งอยู่,adj.,The hotel is situated by the beach.,โรงแรมตั้งอยู่ริมชายหาด
sketch,ร่าง,n.,He made a quick sketch of the landscape.,เขาร่างภาพทิวทัศน์อย่างรวดเร็ว
skip,ข้าม,v.,Let's skip this chapter for now.,ข้ามบทนี้ไปก่อน
slam,สแลม,v.,She accidentally slammed the door.,เธอกระแทกประตูโดยไม่ได้ตั้งใจ
slap,ตบ,v.,He received a slap on the wrist for his behavior.,เขาถูกตบที่ข้อมือเนื่องจากพฤติกรรมของเขา
slash,เฉือน,v.,He used a knife to slash the rope.,เขาใช้มีดเฉือนเชือก
slavery,การเป็นทาส,n.,Slavery is a dark part of history.,การค้าทาสเป็นส่วนมืดของประวัติศาสตร์
slot,สล็อต,n.,Insert the coin into the slot.,ใส่เหรียญเข้าไปในช่อง
smash,ชน,v.,The car was involved in a smash.,รถมีส่วนเกี่ยวข้องในการชน
snap,สแน็ป,v.,The twig will snap if you bend it.,กิ่งไม้จะหักถ้าคุณงอ
soak,แช่,v.,Let the fabric soak in water.,ปล่อยให้ผ้าแช่น้ำ.
soar,ทะยาน,v.,Watch the eagle soar in the sky.,ชมนกอินทรีทะยานไปบนท้องฟ้า
socialist,สังคมนิยม,adj.,He is a staunch socialist.,เขาเป็นนักสังคมนิยมที่เข้มแข็ง
sole,แต่เพียงผู้เดียว,adj.,She is the sole owner of the company.,เธอเป็นเจ้าของบริษัทแต่เพียงผู้เดียว
solely,แต่เพียงผู้เดียว,adv.,He acted solely out of fear.,เขากระทำเพียงเพราะความกลัว
solicitor,ทนายความ,n.,The solicitor provided legal advice.,ทนายความให้คำแนะนำด้านกฎหมาย
solidarity,ความสามัคคี,n.,Their solidarity was evident during the protest.,ความสามัคคีของพวกเขาปรากฏชัดในระหว่างการประท้วง
solo,เดี่ยว,adj./ n.,The musician gave a solo performance.,นักดนตรีได้แสดงเดี่ยว
sound,เสียง,adj.,The sound of music filled the room.,เสียงดนตรีดังก้องไปทั่วห้อง
sovereignty,อธิปไตย,n.,Sovereignty is the power of self-governance.,อธิปไตยคือพลังแห่งการปกครองตนเอง
span,ช่วง,v./ n.,The bridge spans the river.,สะพานทอดข้ามแม่น้ำ
spare,สำรอง,v.,Keep a spare key for emergencies.,เก็บกุญแจสำรองไว้ใช้ยามฉุกเฉิน
spark,จุดประกาย,v.,The spark ignited the fire.,ประกายไฟก็จุดไฟ
specialized,เฉพาะทาง,adj.,He has specialized knowledge in this field.,เขามีความรู้เฉพาะทางในด้านนี้
specification,ข้อกำหนด,n.,Read the specification before purchasing.,อ่านข้อกำหนดก่อนซื้อ
specimen,ตัวอย่าง,n.,The biologist collected a specimen.,นักชีววิทยาได้เก็บตัวอย่าง
spectacle,ปรากฏการณ์,n.,The circus was a grand spectacle.,ละครสัตว์เป็นการแสดงที่ยิ่งใหญ่
spectrum,สเปกตรัม,n.,The rainbow displays a spectrum of colors.,รุ้งแสดงสเปกตรัมของสี
spell,สะกด,n.,She can spell difficult words.,เธอสามารถสะกดคำยากๆ ได้
sphere,ทรงกลม,n.,The Earth is a sphere.,โลกเป็นทรงกลม
spin,หมุน,v./ n.,Give the wheel a spin.,ให้ล้อหมุน
spine,กระดูกสันหลัง,n.,He hurt his spine in the accident.,เขาได้รับบาดเจ็บที่กระดูกสันหลังจากอุบัติเหตุ
spotlight,สปอตไลท์,n.,The actress was in the spotlight.,นางเอกก็ตกเป็นเป้าสายตา
spouse,คู่สมรส,n.,Her spouse is very supportive.,คู่สมรสของเธอให้การสนับสนุนอย่างมาก
spy,สอดแนม,n./ v.,The spy gathered intelligence secretly.,สายลับได้รวบรวมข่าวกรองอย่างลับๆ
squad,ทีม,n.,The police squad arrived at the scene.,เจ้าหน้าที่ตำรวจมาถึงที่เกิดเหตุ.
squeeze,บีบ,v.,Be careful not to squeeze the balloon too hard.,ระวังอย่าบีบลูกโป่งแรงเกินไป
stab,แทง,v.,He tried to stab the intruder.,เขาพยายามแทงผู้บุกรุก
stability,ความมั่นคง,n.,The stability of the building is crucial.,ความมั่นคงของอาคารเป็นสิ่งสำคัญ
stabilize,มีเสถียรภาพ,v.,We need to stabilize the situation.,เราจำเป็นต้องรักษาเสถียรภาพของสถานการณ์
stake,สัดส่วนการถือหุ้น,n.,The business's stake in the market is significant.,สัดส่วนการถือหุ้นของธุรกิจในตลาดมีความสำคัญ
standing,ยืน,adj.,His standing in the community is high.,จุดยืนของเขาในชุมชนนั้นสูง
stark,สิ้นเชิง,adj.,The difference between rich and poor is stark.,ความแตกต่างระหว่างคนรวยกับคนจนนั้นชัดเจน
statistical,เชิงสถิติ,adj.,The statistical data supports the theory.,ข้อมูลทางสถิติสนับสนุนทฤษฎี
steer,คัดท้าย,v.,He will steer the project in the right direction.,เขาจะดำเนินโครงการไปในทิศทางที่ถูกต้อง
stem,ลำต้น,n./ v.,The stem of the flower is long.,ก้านดอกมีความยาว
stereotype,แบบเหมารวม,n.,Don't fall for that stereotype.,อย่าตกหลุมรักแบบเหมารวมนั้น
stimulus,สิ่งเร้า,n.,The stimulus package boosted the economy.,มาตรการกระตุ้นเศรษฐกิจช่วยกระตุ้นเศรษฐกิจ
stir,คน,v.,Stir the ingredients together.,คนส่วนผสมให้เข้ากัน
storage,พื้นที่จัดเก็บ,n.,Store your belongings in the storage room.,เก็บสิ่งของของคุณไว้ในห้องเก็บของ
straightforward,ตรงไปตรงมา,adj.,The instructions are straightforward.,คำแนะนำตรงไปตรงมา
strain,ความเครียด,n.,The strain of work affected his health.,ความเครียดจากงานส่งผลต่อสุขภาพของเขา
strand,สาระ,n.,A strand of hair fell on her face.,ผมเส้นหนึ่งร่วงหล่นลงบนใบหน้าของเธอ
strategic,เชิงกลยุทธ์,adj.,They made a strategic move in the game.,พวกเขาทำการเคลื่อนไหวเชิงกลยุทธ์ในเกม
striking,โดดเด่น,adj.,The painting has striking colors.,ภาพวาดมีสีที่โดดเด่น
strip,เปลื้องผ้า,n.,He will strip the old paint from the wall.,เขาจะลอกสีเก่าออกจากผนัง
strip,เปลื้องผ้า,v.,She needs to strip the old wallpaper.,เธอจำเป็นต้องลอกวอลเปเปอร์เก่าออก
strive,มุ่งมั่น,v.,They strive for excellence in their work.,พวกเขามุ่งมั่นสู่ความเป็นเลิศในการทำงาน
structural,โครงสร้าง,adj.,The structural integrity of the building is vital.,ความสมบูรณ์ของโครงสร้างของอาคารเป็นสิ่งสำคัญ
stumble,สะดุด,v.,Be careful not to stumble on the steps.,ระวังอย่าให้สะดุดขั้นบันได
stun,สตัน,v.,The news of the accident stunned everyone.,ข่าวอุบัติเหตุทำให้ทุกคนตะลึง
submission,การส่ง,n.,Submission of the report is due tomorrow.,การส่งรายงานจะครบกำหนดในวันพรุ่งนี้
subscription,สมัครสมาชิก,n.,He canceled his magazine subscription.,เขายกเลิกการสมัครสมาชิกนิตยสารของเขา
subsidy,เงินอุดหนุน,n.,The government provides a subsidy for farmers.,รัฐบาลให้เงินอุดหนุนแก่เกษตรกร
substantial,มากมาย,adj.,The company made a substantial profit.,บริษัทมีกำไรมหาศาล
substitute,ทดแทน,n./ v.,You can substitute butter with margarine.,คุณสามารถทดแทนเนยด้วยเนยเทียมได้
subtle,บอบบาง,adj.,Her suggestion was subtle but effective.,คำแนะนำของเธอนั้นละเอียดอ่อนแต่ได้ผล
suburban,ชานเมือง,adj.,He lives in a quiet suburban neighborhood.,เขาอาศัยอยู่ในย่านชานเมืองอันเงียบสงบ
succession,การสืบทอด,n.,The succession of kings was smooth.,การสืบราชสันตติวงศ์เป็นไปอย่างราบรื่น
successive,ต่อเนื่องกัน,adj.,The changes happened in successive stages.,การเปลี่ยนแปลงเกิดขึ้นในขั้นตอนต่อเนื่องกัน
successor,ผู้สืบทอด,n.,The new CEO is the successor.,ซีอีโอคนใหม่เป็นผู้สืบทอด
suck,ดูด,v.,Don't suck on that lollipop too hard.,อย่าดูดอมยิ้มแรงเกินไป
sue,ฟ้อง,v.,He decided to sue for damages.,เขาจึงตัดสินใจฟ้องเรียกค่าเสียหาย
suicide,การฆ่าตัวตาย,n.,The issue of suicide is serious.,ปัญหาการฆ่าตัวตายเป็นเรื่องร้ายแรง
suite,ห้องสวีท,n.,They booked a luxurious suite in the hotel.,พวกเขาจองห้องสวีทสุดหรูในโรงแรม
summit,การประชุมสุดยอด,n.,The leaders met at the summit.,ผู้นำพบกันที่การประชุมสุดยอด
superb,ยอดเยี่ยม,adj.,Her performance was superb.,การแสดงของเธอยอดเยี่ยมมาก
superior,เหนือกว่า,adj.,Her skills are superior to others.,ทักษะของเธอเหนือกว่าคนอื่นๆ
supervise,กำกับดูแล,v.,I will supervise the project closely.,ฉันจะดูแลโครงการอย่างใกล้ชิด
supervision,การกำกับดูแล,n.,He has overall supervision of the team.,เขามีการควบคุมดูแลโดยรวมของทีม
supervisor,หัวหน้างาน,n.,The supervisor monitors the employees.,ผู้บังคับบัญชาคอยติดตามพนักงาน
supplement,เสริม,n./ v.,Take a vitamin supplement for better health.,รับประทานอาหารเสริมวิตามินเพื่อสุขภาพที่ดีขึ้น
supportive,สนับสนุน,adj.,She's a supportive friend.,เธอเป็นเพื่อนที่ให้กำลังใจ
supposedly,คาดคะเน,adv.,"Supposedly, the meeting is at 3 PM.",สมมุติว่าประชุมเวลา 15.00 น.
suppress,ปราบปราม,v.,They tried to suppress their laughter.,พวกเขาพยายามระงับเสียงหัวเราะ
supreme,สุดยอด,adj.,The Supreme Court issued a ruling.,ศาลฎีกามีคำพิพากษา
surge,ไฟกระชาก,n./ v.,There was a surge in demand for the product.,มีความต้องการสินค้าเพิ่มขึ้น
surgical,การผ่าตัด,adj.,The surgical procedure was a success.,ขั้นตอนการผ่าตัดประสบผลสำเร็จ
surplus,ส่วนเกิน,n.,There's a surplus of goods in the warehouse.,มีสินค้าเหลืออยู่ในโกดัง
surrender,ยอมแพ้,v.,He decided to surrender to the authorities.,เขาจึงตัดสินใจมอบตัวต่อเจ้าหน้าที่
surveillance,การเฝ้าระวัง,n.,Surveillance cameras monitor the area.,กล้องวงจรปิดจะตรวจสอบพื้นที่
suspension,ระบบกันสะเทือน,n.,The suspension of the project was unexpected.,การระงับโครงการเป็นเรื่องที่ไม่คาดคิด
suspicion,ความสงสัย,n.,There was suspicion of foul play.,มีข้อสงสัยเล่นผิดกติกา
sustain,ยั่งยืน,v.,We need to sustain our efforts.,เราจำเป็นต้องรักษาความพยายามของเรา
swing,แกว่ง,v./ n.,Children love to swing in the park.,เด็กๆ ชอบเล่นชิงช้าในสวนสาธารณะ
sword,ดาบ,n.,The knight wielded his sword bravely.,อัศวินกวัดแกว่งดาบอย่างกล้าหาญ
symbolic,เป็นสัญลักษณ์,adj.,The flag had a symbolic meaning.,ธงมีความหมายเชิงสัญลักษณ์
syndrome,ซินโดรม,n.,She suffers from a rare syndrome.,เธอป่วยเป็นโรคที่หายาก
synthesis,สังเคราะห์,n.,The synthesis of ideas led to innovation.,การสังเคราะห์ความคิดนำไปสู่นวัตกรรม
systematic,อย่างเป็นระบบ,adj.,They followed a systematic approach.,พวกเขาปฏิบัติตามแนวทางที่เป็นระบบ
tackle,ต่อสู้,n.,Tackle the problem head-on.,แก้ไขปัญหาเฉพาะหน้า.
tactical,เกี่ยวกับยุทธวิธี,adj.,The military used a tactical maneuver.,กองทัพใช้ยุทธวิธีในการซ้อมรบ
taxpayer,ผู้เสียภาษี,n.,Taxpayers fund public services.,ผู้เสียภาษีให้ทุนแก่บริการสาธารณะ
tempt,ล่อ,v.,Don't tempt fate with risky decisions.,อย่าล่อลวงโชคชะตาด้วยการตัดสินใจที่เสี่ยง
tenant,ผู้เช่า,n.,The tenant signed the lease agreement.,ผู้เช่าลงนามในสัญญาเช่า
tender,อ่อนโยน,adj.,His tender words touched her heart.,คำพูดอันอ่อนโยนของเขาสัมผัสใจเธอ
tenure,วาระการดำรงตำแหน่ง,n.,She held the position for a long tenure.,เธอดำรงตำแหน่งมายาวนาน
terminal,เทอร์มินัล,adj.,The airport terminal is busy.,อาคารสนามบินมีผู้คนพลุกพล่าน
terminate,ยุติ,v.,They decided to terminate the contract.,พวกเขาตัดสินใจยกเลิกสัญญา
terrain,ภูมิประเทศ,n.,The terrain was rugged and challenging.,ภูมิประเทศนั้นขรุขระและท้าทาย
terrific,ยอดเยี่ยมมาก,adj.,It was a terrific movie.,มันเป็นภาพยนตร์ที่ยอดเยี่ยม
testify,เป็นพยาน,v.,He agreed to testify in court.,เขาตกลงที่จะเป็นพยานในศาล
testimony,คำให้การ,n.,Her testimony was crucial for the case.,คำให้การของเธอมีความสำคัญอย่างยิ่งต่อคดีนี้
texture,เนื้อสัมผัส,n.,The fabric had a unique texture.,ผ้ามีเนื้อผ้าที่เป็นเอกลักษณ์
thankfully,โชคดี,adv.,"Thankfully, they arrived safely.",โชคดีที่พวกเขามาถึงอย่างปลอดภัย
theatrical,การแสดงละคร,adj.,The play had a theatrical performance.,ละครเรื่องนี้มีการแสดงละคร
theology,เทววิทยา,n.,He studied theology at the university.,เขาศึกษาเทววิทยาที่มหาวิทยาลัย
theoretical,ตามทฤษฎี,adj.,The theoretical framework was complex.,กรอบทฤษฎีมีความซับซ้อน
thereafter,หลังจากนั้น,adv.,"Thereafter, they celebrated their success.",หลังจากนั้นพวกเขาก็เฉลิมฉลองความสำเร็จของพวกเขา
thereby,ด้วยเหตุนี้,adv.,You can save money thereby.,คุณสามารถประหยัดเงินได้
thoughtful,รอบคอบ,adj.,She is a thoughtful friend.,เธอเป็นเพื่อนที่คิดดี
thought-provoking,กระตุ้นความคิด,adj.,The book was thought-provoking.,หนังสือเล่มนี้กระตุ้นความคิด
thread,ด้าย,n.,Thread the needle carefully.,ร้อยด้ายอย่างระมัดระวัง
threshold,เกณฑ์,n.,He crossed the threshold of the house.,เขาข้ามธรณีประตูบ้าน
thrilled,ตื่นเต้น,adj.,She was thrilled with the surprise.,เธอรู้สึกตื่นเต้นกับความประหลาดใจ
thrive,เจริญเติบโต,v.,Businesses aim to thrive in the market.,ธุรกิจมุ่งหวังที่จะเติบโตในตลาด
tide,กระแสน้ำ,n.,The tide came in quickly.,น้ำเข้ามาอย่างรวดเร็ว
tighten,ขัน,v.,Tighten the screws to secure the shelf.,ขันสกรูให้แน่นเพื่อยึดชั้นวาง
timber,ไม้,n.,The house is made of timber.,ตัวบ้านทำจากไม้
timely,ทันเวลา,adj.,Your timely response is appreciated.,ขอขอบคุณการตอบกลับอย่างทันท่วงทีของคุณ
tobacco,ยาสูบ,n.,Smoking tobacco is harmful to health.,การสูบบุหรี่เป็นอันตรายต่อสุขภาพ
tolerance,ความอดทน,n.,We need more tolerance in society.,เราต้องการความอดทนมากขึ้นในสังคม
tolerate,ทนต่อ,v.,We should tolerate different opinions.,เราควรอดทนต่อความคิดเห็นที่แตกต่าง
toll,ค่าผ่านทาง,n,Pay the toll before crossing the bridge.,ชำระค่าผ่านทางก่อนข้ามสะพาน
torture,การทรมาน,n./ v.,The torture of prisoners is illegal.,การทรมานนักโทษเป็นสิ่งผิดกฎหมาย
toss,โยน,v.,Toss the ball to me.,โยนลูกบอลให้ฉัน
total,ทั้งหมด,v.,The total cost is $100.,ค่าใช้จ่ายทั้งหมดคือ $ 100
toxic,พิษ,adj.,The chemical is toxic to humans.,สารเคมีเป็นพิษต่อมนุษย์
trace,ติดตาม,n.,We need to trace the source of the issue.,เราจำเป็นต้องติดตามแหล่งที่มาของปัญหา
trademark,เครื่องหมายการค้า,n.,The trademark identifies the brand.,เครื่องหมายการค้าระบุถึงแบรนด์
trail,เส้นทาง,n./ v.,Follow the trail through the forest.,เดินตามเส้นทางผ่านป่า
trailer,รถพ่วง,n.,The movie trailer looked exciting.,ตัวอย่างภาพยนตร์ดูน่าตื่นเต้น
transaction,ธุรกรรม,n.,The transaction was completed successfully.,การทำธุรกรรมเสร็จสมบูรณ์เรียบร้อยแล้ว
transcript,การถอดเสียง,n.,I need a copy of the transcript.,ฉันต้องการสำเนาใบรับรองผลการเรียน
transformation,การเปลี่ยนแปลง,n.,The transformation of the city was impressive.,การเปลี่ยนแปลงของเมืองนั้นน่าประทับใจ
transit,การขนส่ง,n.,The subway is a quick transit option.,รถไฟใต้ดินถือเป็นตัวเลือกการขนส่งสาธารณะที่รวดเร็ว
transmission,การแพร่เชื้อ,n.,Ensure proper data transmission.,ตรวจสอบให้แน่ใจว่าการส่งข้อมูลถูกต้อง
transparency,ความโปร่งใส,n.,We value transparency in our organization.,เราให้ความสำคัญกับความโปร่งใสในองค์กรของเรา
transparent,โปร่งใส,adj.,The glass is transparent and clear.,กระจกมีความโปร่งใสและใส
trauma,การบาดเจ็บ,n.,She experienced a traumatic event.,เธอประสบเหตุการณ์ที่กระทบกระเทือนจิตใจ
treaty,สนธิสัญญา,n.,The treaty brought peace to the nations.,สนธิสัญญานำสันติภาพมาสู่ประชาชาติ
tremendous,มหาศาล,adj.,The progress made was tremendous.,ความก้าวหน้าที่เกิดขึ้นนั้นยิ่งใหญ่มาก
tribal,ชนเผ่า,adj.,The tribal leaders gathered for a meeting.,ผู้นำเผ่ามารวมตัวกันเพื่อประชุม
tribunal,ศาล,n.,The tribunal will judge the case.,ศาลจะพิพากษาคดีนี้
tribute,ส่วย,n.,They paid tribute to the fallen soldiers.,พวกเขาแสดงความเคารพต่อทหารที่เสียชีวิต
trigger,สิ่งกระตุ้น,n.,A loud noise can trigger fear.,เสียงดังสามารถกระตุ้นให้เกิดความกลัวได้
trio,ทรีโอ,n.,The trio performed a beautiful song.,ทั้งสามคนแสดงเพลงที่สวยงาม
triumph,ชัยชนะ,n.,Their triumph in the competition was celebrated.,ชัยชนะของพวกเขาในการแข่งขันได้รับการเฉลิมฉลอง
